outer_iter,p_penal,p_step,lambda_correction,lambda_penalty,lambda_reference,lambda_effective,compliance,volume_fraction_before,volume_residual_before,volume_fraction,volume_residual,theta_state_change,design_change,compliance_change,mechanics_iters,design_iters,mechanics_energy,design_energy,mechanics_message,design_message
1,1.0,0.0,0.0,6.011857678345223e-13,4.079519237613034,4.079519237613635,4.155670428097082,0.40000000000006014,6.011857678345223e-14,0.44050506225551994,0.04050506225551992,inf,0.6344728664652278,inf,17,11,-2.0779770780283684,6.529102424471429,Gradient norm converged,Gradient norm converged
2,1.0,0.0,1.9828941683052848,0.4050506225551992,3.4399242669660404,5.827869057826525,2.791863220800011,0.44050506225551994,0.04050506225551992,0.3835771999667028,-0.016422800033297213,0.6344728664652278,0.18974618247184927,0.32817982823569825,14,8,-1.3957876620398548,7.74722585237115,Gradient norm converged,Gradient norm converged
3,1.0,0.0,1.3049759079124472,-0.16422800033297213,4.991389487916195,6.13213739549567,3.2096629665290233,0.3835771999667028,-0.016422800033297213,0.36878439379266864,-0.03121560620733138,0.18974618247184927,0.08588412354956092,0.14964907400058497,11,6,-1.604877755962363,7.89490577219723,Gradient norm converged,Gradient norm converged
4,1.0,0.0,-0.5647350762740175,-0.3121560620733138,5.593495493515433,4.716604355168101,3.3267080529427506,0.36878439379266864,-0.03121560620733138,0.38680569526700054,-0.013194304732999484,0.08588412354956092,0.08406897838431768,0.036466472534436106,8,6,-1.6678512881905285,6.782935421872084,Gradient norm converged,Gradient norm converged
5,1.0,0.0,-1.450362485043241,-0.13194304732999484,4.796561091664327,3.2142555592910913,3.127202912323527,0.38680569526700054,-0.013194304732999484,0.43385119623292995,0.033851196232929925,0.08406897838431768,0.17484625501402884,0.0599707390742463,9,8,-1.563585363207918,5.546350895165822,Gradient norm converged,Gradient norm converged
6,1.0,0.0,0.49806948404274776,0.33851196232929925,3.3675251844955896,4.204106630867637,2.730788766222262,0.43385119623292995,0.033851196232929925,0.418229249135225,0.018229249135225,0.17484625501402884,0.04757054285889926,0.12676316734647938,11,5,-1.3653741285728604,6.3767916461999,Gradient norm converged,Gradient norm converged
7,1.0,0.0,1.2347189507305234,0.18229249135225,3.799861677611913,5.216873119694687,2.8298879929487804,0.418229249135225,0.018229249135225,0.3839097459482309,-0.016090254051769115,0.04757054285889926,0.11243491405181553,0.0362895980649616,7,7,-1.4192915208686143,7.151388359401877,Gradient norm converged,Gradient norm converged
8,1.0,0.0,0.5010300736782362,-0.16090254051769115,5.1203715182309635,5.460499051391508,3.1323734694996386,0.3839097459482309,-0.016090254051769115,0.3801139068461535,-0.01988609315384654,0.11243491405181553,0.019729111660032654,0.10688955792757875,10,3,-1.5660934494305632,7.342722486585388,Gradient norm converged,Gradient norm converged
9,1.0,0.0,-0.7208601462478866,-0.1988609315384654,5.193334805479054,4.273613727692702,3.1537423794633996,0.3801139068461535,-0.01988609315384654,0.3940393610096487,-0.005960638990351319,0.019729111660032654,0.048752220250896976,0.006821954716394181,4,5,-1.5838386443779036,6.394789772986416,Gradient norm converged,Gradient norm converged
10,1.0,0.0,-1.092327273425731,-0.05960638990351319,4.552556978345526,3.4006233150162823,3.030763186529434,0.3940393610096487,-0.005960638990351319,0.41762359327549736,0.01762359327549734,0.048752220250896976,0.07791232489067222,0.038994685721568105,8,6,-1.5153711070961013,5.700148582974255,Gradient norm converged,Gradient norm converged
