id,ksp_rtol,ksp_max_it,pc_policy,prev_time,new_time,d_time,prev_newton,new_newton,d_newton,prev_ksp,new_ksp,d_ksp,prev_score,new_score,d_score,prev_conv,new_conv
r2e-2_k30_fresh,0.02,30,fresh,60.3509,52.2256,-8.125300000000003,898,695,-203,23965,24142,177,1.6584322225068162,1.3721006630461117,-0.28633155946070454,24/24,15/16
r5e-2_k30_reuse,0.05,30,reuse,64.9344,58.1126,-6.821799999999996,1040,827,-213,25095,24876,-219,1.979899721805805,1.6403485163481886,-0.3395512054576164,24/24,15/16
r1e-2_k30_reuse,0.01,30,reuse,63.217,50.5609,-12.656100000000002,922,704,-218,26313,23139,-3174,1.9212323409094554,1.28861726780276,-0.6326150731066953,24/24,15/16
r1e-2_k20_reuse,0.01,20,reuse,68.9125,58.6215,-10.290999999999997,1122,925,-197,24510,22491,-2019,2.045932596307242,1.5563342161524256,-0.48959838015481627,24/24,15/16
r1e-1_k20_reuse,0.1,20,reuse,71.103,65.2696,-5.8333999999999975,1222,1122,-100,22645,20268,-2377,2.0151639456162638,1.6359586908273926,-0.3792052547888711,24/24,15/16
r5e-2_k20_fresh,0.05,20,fresh,71.7011,52.887100000000004,-18.813999999999993,1187,788,-399,23875,22000,-1875,2.0817220909767395,1.304097589431481,-0.7776245015452585,24/24,15/16
r1e-2_k30_fresh,0.01,30,fresh,65.5587,52.9102,-12.648499999999999,944,742,-202,27712,24245,-3467,2.0893255166788665,1.45230934986463,-0.6370161668142365,24/24,15/16
r1e-1_k30_reuse,0.1,30,reuse,65.1899,55.6522,-9.537699999999994,1111,915,-196,20736,19121,-1615,1.6647467410020278,1.2156882630133472,-0.4490584779886806,24/24,15/16
r2e-2_k30_reuse,0.02,30,reuse,59.5231,49.9245,-9.598599999999998,897,703,-194,25031,21990,-3041,1.7599624856059748,1.1760758192946896,-0.5838866663112852,24/24,15/16
r5e-3_k30_reuse,0.005,30,reuse,62.8697,52.2764,-10.5933,910,720,-190,26545,23980,-2565,1.9257170792339886,1.3938131587284457,-0.5319039205055429,24/24,15/16
r2e-2_k20_reuse,0.02,20,reuse,64.4587,55.328900000000004,-9.129799999999989,1063,840,-223,24122,22526,-1596,1.9202424740430817,1.432661532707429,-0.48758094133565266,24/24,15/16
r5e-2_k20_reuse,0.05,20,reuse,68.7061,61.6159,-7.090200000000003,1133,991,-142,24823,21951,-2872,2.0926253618279773,1.6027998843710685,-0.48982547745690885,24/24,15/16
r2e-2_k20_fresh,0.02,20,fresh,67.1476,64.3657,-2.781899999999993,1096,1011,-85,22467,22259,-208,1.8096200844160544,1.662462332835366,-0.14715775158068833,24/24,15/16
r2e-2_k50_reuse,0.02,50,reuse,69.2173,90.0922,20.87490000000001,862,999,137,37593,52055,14462,2.9217173063312907,4.524200381298104,1.602483074966813,24/24,23/24
r1e-2_k50_reuse,0.01,50,reuse,70.1919,60.1159,-10.076,831,655,-176,38005,34294,-3711,2.9151977935156785,2.3353174009840596,-0.5798803925316189,24/24,15/16
r5e-3_k50_reuse,0.005,50,reuse,71.6575,57.4704,-14.187100000000001,831,611,-220,38866,34863,-4003,2.998410318885351,2.45607899172265,-0.5423313271627008,24/24,15/16
