solver,nprocs,total_time_s,final_energy,total_newton_iters,total_linear_iters,result
fenics_custom,1,22.430327,0.34562646842676603,7,22,completed
fenics_custom,2,20.143702,0.34562646842593736,11,42,completed
fenics_custom,4,6.166761,0.34562646842639444,6,22,completed
fenics_custom,8,5.250069,0.34562646842590866,8,32,completed
fenics_custom,16,3.279613,0.34562646842597833,10,33,completed
fenics_custom,32,2.00096,0.3456264684259207,8,37,completed
jax_petsc_element,1,15.640086,0.3456264684117146,9,33,completed
jax_petsc_element,2,8.338157,0.34562646841171507,7,29,completed
jax_petsc_element,4,6.232026,0.34562646841173084,7,27,completed
jax_petsc_element,8,6.348325,0.34562646841171807,8,35,completed
jax_petsc_element,16,3.40592,0.3456264684117145,8,38,completed
jax_petsc_element,32,2.097343,0.3456264684118114,7,39,completed
jax_petsc_local_sfd,1,19.379999,0.3456264684117145,9,33,completed
jax_petsc_local_sfd,2,10.474627,0.34562646841171507,7,29,completed
jax_petsc_local_sfd,4,8.157309,0.3456264684117308,7,27,completed
jax_petsc_local_sfd,8,8.487635,0.34562646841171807,8,35,completed
jax_petsc_local_sfd,16,4.473231,0.3456264684117145,8,38,completed
jax_petsc_local_sfd,32,2.722982,0.3456264684118114,7,39,completed
